纸张核价表（2025.11.3）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注意; 卷筒纸分切每吨加100元费用,,,,,,,,更新人：,,,张倩倩,,复核人,, ,,,,,,,,,,,,,,,,,,,,,,,,
其他纸张核价吨价=进货吨价*1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特种纸张核价吨价=进货吨价*1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^进货吨价及时查询仓库库存，每月不少于一次核价吨价调整                                      ,,,,,,,,更新时间：,,,2026/6/15,,复核时间,,,上涨,↑,,,,,,,,,,,,,,,,,,,,,,
说明：①报价为平张价格，卷筒-100元/吨，量大可另外报价；②卷筒纸分切每吨加100元费用；③特种纸张核价吨价=进货吨价*1.1（其他*1.05）；④进货吨价及时查询仓库库存，每月不少于一次核价吨价调整；⑤大单另外询价。以上不含运费。,,,,,,,,,,,,,,,,未调整,-,,,,,,,,,,,,,,,,,,,,,,
序号,种类,品牌,克重,供应商,报价,供应商,报价,供应商,报价,进货吨价,涨幅,核价吨价,标规单张,大规单张,备注,下跌,↓,,,,,,,,,,,,,,,,,,,,,,
60,双面牛皮纸,国产,250,,,,,,,6600,,6798,1.46 ,1.80 ,,,,,,,,,,,,,,,,,,,,,,,,,
61,双面牛皮纸,国产,300,,,,,,,6600,,6798,1.75 ,2.16 ,,,,,,,,,,,,,,,,,,,,,,,,,
62,双面牛皮纸,国产,350,,,,,,,6600,,6798,2.04 ,2.53 ,,,,,,,,,,,,,,,,,,,,,,,,,
63,双面牛皮纸,国产,400,,,,,,,6600,,6798,2.34 ,2.89 ,,,,,,,,,,,,,,,,,,,,,,,,,
64,双面牛皮纸,俄卡,130,,,,,,,7800,,8034,0.90 ,1.11 ,,,,,,,,,,,,,,,,,,,,,,,,,
65,双面牛皮纸,俄卡,150,,,,,,,7800,,8034,1.04 ,1.28 ,,,,,,,,,,,,,,,,,,,,,,,,,
66,双面牛皮纸,俄卡,180,,,,,,,7800,,8034,1.24 ,1.54 ,,,,,,,,,,,,,,,,,,,,,,,,,
67,双面牛皮纸,美卡,210,,,,,,,7800,,8034,1.45 ,1.79 ,,,,,,,,,,,,,,,,,,,,,,,,,
68,双面牛皮纸,美卡,250,,,,,,,7800,,8034,1.73 ,2.13 ,,,,,,,,,,,,,,,,,,,,,,,,,
69,双面牛皮纸,美卡,300,,,,,,,7800,,8034,2.07 ,2.56 ,,,,,,,,,,,,,,,,,,,,,,,,,
70,双面牛皮纸,美卡,350,,,,,,,7800,,8034,2.42 ,2.98 ,,,,,,,,,,,,,,,,,,,,,,,,,
71,白牛皮纸,-,100,,,,,,,8500,,8755,0.75 ,0.93 ,,,,,,,,,,,,,,,,,,,,,,,,,
72,白牛皮纸,-,120,,,,,,,8500,,8755,0.90 ,1.12 ,,,,,,,,,,,,,,,,,,,,,,,,,
73,白牛皮纸,-,150,,,,,,,8500,,8755,1.13 ,1.39 ,,,,,,,,,,,,,,,,,,,,,,,,,
74,白牛皮纸,-,180,,,,,,,8500,,8755,1.35 ,1.67 ,,,,,,,,,,,,,,,,,,,,,,,,,
75,白牛皮纸,-,200,,,,,,,8500,,8755,1.50 ,1.86 ,,,,,,,,,,,,,,,,,,,,,,,,,
76,白牛皮纸,-,250,,,,,,,9000,,9270,1.99 ,2.46 ,,,,,,,,,,,,,,,,,,,,,,,,,
77,白牛皮纸,-,300,,,,,,,9000,,9270,2.39 ,2.95 ,,,,,,,,,,,,,,,,,,,,,,,,,
78,白牛皮纸,-,400,,,,,,,9000,,9270,3.19 ,3.94 ,,,,,,,,,,,,,,,,,,,,,,,,,
79,灰卡底衬,富勤,240,,,,,,,2960,-,3048.8,0.63 ,0.78 ,,,,,,,,,,,,,,,,,,,,,,,,,
