2024杭州悦声印刷纸综合价格表,,,,,,,,2024杭州悦声包装纸综合价格表,,,,,,,,,,
未注明/吨的，均为令价,,,,,,,,未注明/吨的，均为令价,,,,,,,,,,
,,,195,,925 ,,,,,,330g双面,,,令,5850 ,,,
,,,210,,995 ,,,2,意象牌,锦絮飞扬,17001-P15,正度,超白/本白/金黄/灰色/深蓝/大红/深棕/深咖啡,令,1300 ,东莞基地定制产品,,
,,,240,,1135 ,,,,,,17001-P24,,超白/本白,令,2100 ,,,
,,,260,,1230 ,,,,,,17001-P30,,,令,2600 ,,,
,,,290,,1370 ,,,,,锦絮炫彩,17002-P16,,超白/冰白/米白/白金(单面),令,2400 ,有原纸就接单生产，单独上机200g以下3吨，200g以上(含)40令，顺带生产至少整卷做货。,,
,凝光金属,冰白/珠白/银白,200,正/大度,1300,,,,,,17002-P18,,超白/冰白(双面),令,3200 ,,,
,,,220,,1400,,,,,,17001-P28,,,令,4125 ,,,
,,,250,,1550,,,,,,17001-P32,,,令,4700 ,,,
,,,280,,1750,,,,,锦絮丽画,17003-P18,,白色/米白,令,3100 ,,,
,,,300,,1850,,,3,,新凯维斯    触感平面,130g单面,,橙黄/蔚蓝/暮蓝/芽绿/米白/白色/东方白/冰川蓝,令,1450 ,,,
出色系列,出色本质,雅韵/皇朝/年轮/莱茵/牛津/纤柔,120主色,正/大度,1250,雅黄/浅灰/果粉/暖灰/月驼/湖绿/青柠/黛蓝/明黄/静灰/红木/超白/本白,,,,,,,50个色,令,1650 ,备货产品：1、平面 60个色 正度规格； 2、唯真纹和雅丽纹2个颜色（黑色、红色）  正度规格；,,
,,,120深色,,1300,桔红/墨绿/砚黑/深蓝/靛蓝/鲜红/深咖啡/静灰/大红/深红/深灰,,,,,,,凝夜紫/风信紫,令,1750 ,,,
,,,270,,2700,所有色,,,,,120g单面,,单面-黑平面,令,1350 ,,,
,,,330,,3250,,,,,,130g单面,,,令,1400 ,,,
,,雅韵/超白本白,170,,1800,,,,,,150g单面,,,令,1550 ,,,
,,,230,,2350,,,,,,240g单面,,,令,1975 ,50个色包括：灰色 红色 正红 藏蓝 宝蓝 咖啡 墨绿 黑色 铅灰 深蓝 棕色 金黄 水蓝 桔红 浓酒红 紫砂棕 胡桃棕 牡丹粉 豆沙粉 香妃粉 荷花粉 缃叶黄 樱草黄 云烟紫   青石灰 青铜绿 织锦灰 光影灰 摩卡灰 寒泉灰 明月黄 凤梨黄 密驼棕 烟叶棕 木姜黄 朱砂红 热带橙 胭脂红 圣女红 晴海绿 松石蓝 青竹绿中国绿 孔雀绿 景泰蓝 暮山紫   长春紫 水墨蓝 黑橡粽 千岁绿,,
,出色珊瑚,雪山白/单面,130,正度,2000,S,,,,,300g单面,,,令,2350 ,,,
,,,240,,2950,,,,,,350g单面,,,令,2625 ,,,
,,,350,,3800,,,,,,250g双面,,双面-黑平面,令,2650 ,,,
,,雪山白/双面,140,,3500,,,,,,330g双面,,,令,3050 ,,,
,,,200,,4000,,,,,,120g单面,,单面—红平面,令,1450 ,,,
,,,260,,4575,,,,,,130g单面,,,令,1500 ,,,
,,,300,,4975,,,,,,150g单面,,,令,1700 ,,,
,出色玲珑,超白/星米/银灰/黑玉/冰白,130克单面,正/大度,1950,S,,,,,240g单面,,,令,2300 ,,,
,,其它色,,,2050,,,,,,300g单面,,,令,2750 ,,,
,,所有色,135克双面,,2725,,,,,,250g双面,,双面—红平面,令,3050 ,,,
,,,290克双面,,3925,,,,,琅彩,130g单面,正度,绿幻 赤幻,令,2800 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,出色充皮,亮光,130克单面,,1600,标准14色,,,,,,,蓝幻 紫幻 黑幻 棕幻,令,2600 ,,,
,,哑光,,,1850,,,,,,,,金幻 银幻 玫瑰金 香槟金,令,2500 ,,,
,出色珠光,雅典红/坚毅黑,130单面,,1550,S,,,,,250g双面,,蓝幻/黑幻/紫幻,令,5200 ,,,
,,,270单面,,2950,,,,,,,,绿幻,令,5600 ,,,
,,,330单面,,3425,,,,,,350g单面,,蓝幻/紫幻,令,5000 ,,,
,,,280双面,,3200,,,4,凤歌牌,凤歌充皮01-A130（红宝石亮面）,130g,0.79*100,丹荔/斜格   大红,米,7.50 ,定制产品，原纸不常备，接单详询计划部,,
,,,350双面,,5150,,,,,,,0.79*100,丹荔/斜格   黑色,米,6.30 ,,,
,出色触感,单面,130,正度,2100 ,大红/砚黑,,,,凤歌充皮02-B130(哑面）,130g,0.79*100,碎皮/丹荔,米,8.30 ,,,
,,,,,2250 ,超白、本白、果粉、新绿、明黄、鲜红、亮绿、靛蓝、魅紫、深咖啡、暖灰、深蓝、深灰、砚黑,,,,凤歌充皮05-E140（红宝石PU充皮）,140g,正度,平面（单面）,令,4450 ,,,
,,双面,290,,4850 ,大红/砚黑,,,,,300g,正度,,令,6450 ,,,
,,,,,4975 ,超白、暖灰、深蓝、大红、深咖啡、砚黑,,5~6,凤歌牌,红宝石      金属充皮,140,0.8*100m,鸟巢/丝趣/云盾/细格  6色,米,7.60 ,,,
