2024杭州悦声印刷纸综合价格表,,,,,,,,2024杭州悦声包装纸综合价格表,,,,,,,,,,
未注明/吨的，均为令价,,,,,,,,未注明/吨的，均为令价,,,,,,,,,,
,,,200,,799 ,2、有卷筒存货时，分切特规，2500㎡起订（误差数±20张以内），不足收开机费200元,,,,万象创意纸,120g,正度,"共14色,其中深桔黄/石榴红/海藻红3吨起订",令,1350 ,1、东莞工厂备货；2、卷筒有货时，特规起订数量2000平方米（尾数误差±20张以内），不足起订数量，加收开机费200元。,,
,,,250,,999 ,,,12~16   纯粹牌,,牛津书皮纸,120g,正度,平面/编织/麻布/菱星/新禾/细格/云宣/壁珠/经纬纹,令,1400 ,A类,,
,,,300,,1199 ,,,18~29,纯粹,灵感本质,120,正度,平面及单面纹/所有色,令,1150 ,A类,,
,,,350,,1399 ,,,,,灵感珠光,130,正度,,令,1450 ,,,
,,,400,,1599 ,,,,,灵感充皮,130,正度,,令,1550 ,,,
新增,正霸环保牛卡,本色,250-400,正/大度,9500/吨,1、库存售完，须定抄,,31,凝灿,雅花/珠白,128,正度,平面,令,700 ,B类,,
,,,250,,1021,2、有卷筒存货时，分切特规，2500㎡起订（误差数±20张以内），不足收开机费200元,,,,,,,压纹,令,800 ,,,
,,,300,,1225,,,32~36,凝灿牌,星萃单面,110克单面,正度,冰白/米白/超白,令,800 ,A类,,
,,,350,,1429,"单次开机150吨,单克重不少于30吨",,,,,130克平面/单面纹,,冰白/金黄,令,900 ,,,
,,,400,,1633,造纸机台须满幅2640mm,,,,,,,超白/米白/米金/太空银/粉红/白金/紫红/金黄,令,925 ,,,
,FSC-正霸本色,本色,250-300,正度,11800/吨,"库存售完须定抄，单次开机150吨,单克重不少于30吨",,,,,,,其余色,令,1000 ,,,
,正霸黑卡,黑色,110-150,正/大度,12500/吨,,,37,凝灿牌,星采,120克单面,正度,超白/白色/珠色/银色/太空银/浅紫/粉红/白金/米金/黄金/浅蓝/黑色（白底）,令,850 ,B类,,
,,,250-350,,12000/吨,,,,,,,,深色：古铜/紫红/深紫/蓝色/深绿/深棕/银碳/玫红/海蓝/紫铜/葡萄红,令,900 ,,,
46,特级道林,象牙/本白70/80/100/120/150/200克,,正/大度,11600/吨,非库存产品下单前先询价,,,,,,,黑银/红银/红金/黑金,令,925 ,,,
,特级画刊纸    (新道林),象牙/本白,,正/大度,9600/吨,,,38,,瑰丽系列,120,正度,浅色,令,950 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,,70,,290,,,,,,,,深棕/宝蓝/金棕/紫铜,令,1050 ,,,
,,,80,,332,,,39~41,,魅力系列,120,浅色,冰白,令,800 ,,,
,,,100,,417,,,,,,,主色,白金|星翠|米金|粉红|天蓝|太空银|金黄|米白|米黄|珠白||白色|黑色|超白/荧粉蓝,令,850 ,,,
,,,120,,496,,,,,,,深色白底,古铜/紫红/香槟/棕铜/宝蓝/紫色/银碳,令,900 ,,,
47,"自然
(轻质纸)",本白,55-120,正/大度,10100/吨,1、东莞批量备（70g/90g)货;,,,,,,其它,幻金/黑金/复色/红银,令,1000 ,,,
,,,70,,305,2、有卷筒存货时，分切特规，2500㎡起订（误差数±20张以内），不足收开机费200元,,41~47,翼羽牌,"亮丽充皮
（高亮系列）",120g,黑色,细格/荔枝/蜥蜴/莲珠/鳄鱼纹/充皮纹,令,1100 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,,90,,389,,,,,,,其它单色,,令,1150 ,,,
,,,120,,521,,,,,,,双色,,令,1200 ,,,
47,圣经纸,本白,28,正/大度,14800/吨,非备货产品，纸厂有存货的情况下，整件起订,,,,亮丽充皮,120,黑色,"其中蜥蜴/藤条/鳄鱼/兰叶/云盾/莲珠/莱特纹/小皮纹3令起订,其余纹路不限",令,800 ,东莞基地批量备货，可特规特定,,
,,,33,,,,,,,,,其它单色,,令,875 ,,,
,,,40,,,,,,,,,双色,,令,950 ,,,
,,,45,,,,,,,亮丽卡,230,大红/黑色,平面/单面纹,令,1600 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,,48,,,,,,,,250,,,令,1700 ,,,
47,信封彩色牛皮,金黄牛皮,100,正/大度,1125 ,,,,,,300,,,令,1950 ,,,
,,,120,,1310 ,,,,,,350,,,令,2200 ,,,
,,土黄牛皮,120,,1195 ,,,49~52,◇PVC充皮纸系列,金属PVC,A/G系列,1.08×50m,金属PVC,米,9.30 ,,,
,条纹牛皮,本色条纹牛皮,130,大度,1510 ,,,,,PVC,TC系列,1.08×50m,绒感/触感/皮感平面,米,12.60 ,,,
,,着色条纹牛皮,130,,1685 ,,,,,,FC系列,1.08×50m,绒感/触感/皮感平面,米,10.00 ,,,
48,本牛,精致牛皮,80-145,正/大度,10000/吨,东莞仓适量备货,,,,珠光PVC,T/F/JM系列,1.08×50m,珠光PVC,米,7.80 ,,,
,, 双面牛卡 ,150-450,,9300/吨,,,,,双色系列,DP/CA系列,1.08×50m,双色PVC,米,7.00 ,,,
49,牛油纸,船牌/本色,55-135,正/大度,24000/吨,深圳仓和嘉兴仓备货 正度和大度规格，特规起订数量5000平方米（尾数误差±20张以内），货期4-7天,,,,单色系列,D系列,1.08×50m,单色PVC,米,6.40 ,,,
,,,55,,567 ,,,,,亮面PVC,D7×××,0.787*100,针孔纹,米,9.60 ,,,
,,,65,,670 ,,,53,装帧布,天然丝,,1.42*100米,深红/深蓝/金黄/金棕/金米,米,10.50 ,非备货产品,,
,,,75,,774 ,,,,,东洋细布,,1.08*100米,深咖啡/深蓝/酒红/灰色/大红,米,20.50 ,按需调拨，货期5~10天,,
,,,85,,877 ,,,,,天然麻布,,1.2*100米,白色/灰色/深棕/米色,米,25.00 ,定色：1000-1500米起，以实际颜色评估,,
,,,95,,980 ,,,,工艺纸,手造纸,,1100*800,80-CSP005,令,2200 ,,,
,,,105,,1083 ,,,,,,,,100-CSP005 / 100-CSP011,令,2515 ,,,
,,,115,,1186 ,,,,,,,640*940,HM-001/002/003,令,3890 ,,,
,,,135,,1392 ,,,,,,,正度,KDP775-07红色,令,2965 ,,,
,,,155-190,正/大度,25000/吨,,,,,,,正度,KDP775-10黑色,令,2965 ,,,
,,,155,,1665 ,,,,,,,正度,LJ-018 沙银B,令,6270 ,,,
,,,175,,1880 ,,,,,,,正度,LJ-021古铜,令,4340 ,,,
,,,190,,2041 ,,,54~55,金银花纹纸,,125,正度,金/银  纹面,令,,按单核价,,
,,,210,正/大度,36000/吨,,,,,,128,,金/银  平面,令,,,,
,,,230,,,,,,,,128,,膜拉丝/哑膜(外购),令,,,,
49,国产南亚合成,BCA-0.15,201,正度,1950 ,1、非常备货产品，按需调货,,,,,128,,素面镭射（外购）,令,,,,
,,BCA-0.20,268,,2450 ,2、小批量数量的订单，货期3~5天,,,钻石彩卡-酷黑,,110-400,正度,黑色,吨,14000/吨,东莞备货，2500张起切，不足200开机费,,
,,BCA-0.25,283,,3100 ,3、该款纸张非正宗南亚合成纸产品和价格,,56,哑光黑卡,,110单面,正/大度,哑光单面,令,975 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,BCA-0.30,340,,3675 ,PH合成纸：属于双面涂布处理；双面乳白哑光。双向撕不破。较柔软。,,,,,250单面,,,令,1550 ,,,
,,BCA-0.40,453,,4900 ,,,,,,300单面,,,令,1900 ,,,
,,PH-120,120,,1300 ,BCA合成纸：特殊雾面处理，双面乳白哑光，挺度佳，单向撕不破。,,,,,350单面,,,令,2150 ,,,
,,PH-150,150,,1400 ,,,,,,150,,新,令,1525 ,,,
,国产合成,80μm,55,正度,950 ,1、非常备货产品，按需调货,,,,,180,,,令,1600 ,,,
,,100μm,68,,1075 ,2、小批量数量的订单，货期3~7天,,,,,200,,,令,1750 ,,,
,,130μm,88,,1300 ,,,,,,230,,,令,1900 ,,,
,,150μm,102,,1425 ,3、该款产品，厚度为其品质指标，克重是参考值，误差在±10g以内,,,,,250,,,令,2000 ,,,
,,180μm,122,,1700 ,,,,,,300,,,令,2300 ,,,
,,200μm,136,,2000 ,,,,,,350,,,令,2550 ,,,
,,230μm,156,,2300 ,双面涂布处理，双面乳白哑光，双向撕不破，较柔软。 该款基材的生产设备幅宽为8.2米。基材常备卷筒幅宽为1.1米和1.2米两个幅宽规格。,,,,,400,,,令,2800 ,,,
,,250μm,170,,2475 ,,,,,,450,,,令,3100 ,,,
,,300μm,204,,2900 ,,,,纯黑卡,,110-150,正/大度,黑色,令,11000/吨,1、东莞大批量备货，造纸幅宽（2460~2780)mm,,
50,纤维纸,1025D,42.5,正度,5350 ,,,,,,200-500,,,吨,10500/吨,2、分切特规2500㎡起订不足开机费200元,,
,,1056D,55,,6150 ,非备货产品,,,高磅黑卡,,600-1200,正度,外购,吨,10500/吨,非备货产品，货期2-3天,,
,,1070D,68,,7750 ,按需调拨，货期须找采购核实,,新增,双面环保黑卡,,110-150,正/大度,,吨,10200/吨,1、东莞批量备货，可定制FSC Recycled 100%,,
,,1073D,75,,8135 ,,,,,,180-350,,,吨,9700/吨,2、切特规2500㎡起订，不足收开机费200元,,
,,1082D,105,,10640 ,,,,嵩厚黑卡,,100-160,正/大度,,吨,13600,,,
,,1443R,43,0.762门幅,8.00 ,,,,,,170-350,,,吨,13000,,,
,坚霸卡,4色,0.55 ,1.37*100米,18.50 ,A,,,,,110,,P155,令,644,非备货产品,,
,洗水纸,本色/黑色/白色/红棕/灰色,0.23mm,1.40*100m,12.00 ,27kg/卷（带纸芯管）,,,,,130,,P185,令,758,,,
,,,0.35mm,1.50*100m,18.00 ,40kg/卷（带纸芯管）,,,,,150,,P215,令,877,按需调拨，货期5~10天,,
,,,0.55mm,1.50*100m,24.00 ,56kg/卷（带纸芯管）,,,,,200,,P310,令,1113,,,
,"全木紧致
吸水纸",0.30-0.65,,正度,15000/吨,非备货产品,,,,,250,,P380,令,1389,,,
,,0.30 ,190,,1225 ,,,,,,300,,P430,令,1670,,,
,,0.40 ,260,,1675 ,,,58,永萃牌,染色坑纸,120g*2,正度     华东外购,牛皮底纸,令,,非库存产品下单前先询价,,
,,0.50 ,280,,1805 ,按需调拨，货期5~10天,,,,原色坑纸,100g*2,,白色,令,1350 ,,,
,,0.55 ,320,,2065 ,,,,,,110g*2,,黑色,令,1600 ,,,
,,0.60 ,360,,2320 ,,,,,三层平面坑,100g*3,,特白,令,1500 ,,,
,,0.70 ,420,,2705 ,,,,,,120g*3,,特白,令,1625 ,,,
,"优印紧致
 吸水纸",0.40-0.80,,800*1100,15500/吨,非备货产品,,,,,,,纯黑,令,1925 ,,,
,,0.40 ,250,,1700 ,,,,,,,,,,,,,
,,0.60 ,350,,2375 ,按需调拨，货期5~10天,,注:,1、大度价格为正度价格*1.24,,,,,,,,,
,,0.80 ,450,,3120 ,,,,,,,,,,,,,
,薄型包装纸,单拷,14,正度,95,1、该类型的纸张非常薄，每包最上面的10张左右由于封包时无法避免，故不在品质投诉范围内；,,,,,,,,,,,,
,,双拷,17,,130,,,,,,,,,,,,,
,,彩色拷贝纸,17,500*750,110,2、涉及拆件定购时，纸张由于搬动会有包装破损和纸张折痕，无法避免，不属于品质投诉范围,,,,,,,,,,,,
,,,14,508*660,90,,,,,,,,,,,,,
,食品纸,防油纸,38g,762*1016,275,3、涉及打样时，最少起订量为1包；单款11令起订，打板；不拆包销售，低于11令价格上调3-5%，货期3-5天,,,,,,,,,,,,
,,,40g,,380,,,,,,,,,,,,,
,,腊光纸,22,750*1000,140 ,4、以上提示，同时适用于30g的雪梨纸，31g薄型纸及其它相近克重的纸张。,,,,,,,,,,,,
,,,24,,155 ,,,,,,,,,,,,,
,,,31,,200 ,,,,,,,,,,,,,
东莞贸易新增,优质玻璃卡,本色,250,正度,2150 ,,,,,,,,,,,,,
,,,300,,2575 ,,,,,,,,,,,,,
,,,350,,3000 ,,,,,,,,,,,,,
,单粉卡,平面,230-350,正度,7500/吨,,,,,,,,,,,,,
,,,230,,745 ,,,,,,,,,,,,,
,,,300,,975 ,,,,,,,,,,,,,
,,,350,,1135 ,,,,,,,,,,,,,
,石头纸,石头纸（松厚度1.2左右）,96,正度,450,,,,,,,,,,,,,
,,,120,,550,,,,,,,,,,,,,
,,,144,,665,,,,,,,,,,,,,
,,,168,,775,非备货产品,,,,,,,,,,,,
,,,192,,885,,,,,,,,,,,,,
,,,216,,1000,按需调拨，货期5~10天,,,,,,,,,,,,
,,,240,,1100,,,,,,,,,,,,,
,,石头纸（松厚度1.5左右）,300,,1750,,,,,,,,,,,,,
,,,375,,2200,,,,,,,,,,,,,
,,,450,,2625,,,,,,,,,,,,,
,,,525,,3075,,,,,,,,,,,,,
,,,600,,3500,,,,,,,,,,,,,
注,1、大度价格为正度价格*1.24,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
